cmag_vidfile,google_asr_text,ISSUE10,ISSUE11,ISSUE12,ISSUE13,ISSUE14,ISSUE15,ISSUE16,ISSUE17,ISSUE18,ISSUE19,ISSUE20,ISSUE21,ISSUE22,ISSUE23,ISSUE24,ISSUE30,ISSUE31,ISSUE32,ISSUE37,ISSUE39,ISSUE40,ISSUE41,ISSUE43,ISSUE45,ISSUE50,ISSUE52,ISSUE53,ISSUE54,ISSUE55,ISSUE56,ISSUE57,ISSUE58,ISSUE59,ISSUE60,ISSUE61,ISSUE62,ISSUE65,ISSUE67,ISSUE68,ISSUE69,ISSUE70,ISSUE80,ISSUE82,ISSUE83,ISSUE90,ISSUE91,ISSUE92,ISSUE93,ISSUE95,ISSUE96,ISSUE98,ISSUE101,ISSUE102,ISSUE103,ISSUE104,ISSUE105,ISSUE106,ISSUE111,ISSUE118,ISSUE200,ISSUE208,ISSUE210,ISSUE212,ISSUE218,ISSUE221
GOV_AL_IVEY_FALSE_ATTACKS,"Don't believe that false attacks. Come on. We do not pay people to quit work. Do not use tax dollars to kill our babies. Here in Alabama, wait, pray to God, protect life, freedom and is your Governor. We always will",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_IVEY_GONE_CRAZY,"Sometimes it's like the world gone crazy. Thank God. We do not pay people to quit work. and we do not use tax dollars to kill our babies here in Alabama, we always will",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_IVEY_GUN_PERMIT,Lipstick. Smith & Wesson 38 for Alabama.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_IVEY_I_LOVE_ALABAMA,"I'm Kay Ivey and I love Alabama the past four years. We've created thousands of new jobs, build the best business climate in all 50 states with the lowest. Unemployment, Alabama, Alabama is working again and The Best Is Yet To Come.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_IVEY_IF_YOU_CANT_SAY_SOMETHING_NICE,"Growing up my mom and dad told us if you can't say something nice, don't say anything at all. Well, here's what I have to say about Joe, Biden. Alabama's one and only.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_IVEY_JUST_FACTS,"Some things are just facts. Some of the ocean and gender is a question about your Youth Sports Fan. Left-wing, sexual propaganda from our school and made it a felony for transgender surgery on children in Alabama. Because we identified with something liberals, never will reality.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_IVEY_NAILS,Immigration message to buy borscht in law in America.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_IVEY_NO_WAY_JOSE,"Abby. But here in Alabama, we going.",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GOV_AL_IVEY_ON_TARGET,"Record job creation, America, strongest border. Thank you so much liberal, but I bet her legs tired. Yes, ma'am. What is that mean? I don't know. But I like it.",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_IVEY_TOUGH_AS_NAILS_60,"She's tough as Nails on illegal immigration. 65,000, Alabama, jobs here, I be defied fauci and kept Alabama working in America tax dollars to kill our babies Common Sense election security laws. And when it's hard,",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_IVEY_WE_SAID_A_PRAYER,"When I talked to her we said a prayer pledged Allegiance and salsa Basics. Today the left teaches kids to hate America but not here but instead of the race Theory wrong and dead as a doornail transgender Sports host, they can try that in California. America is the greatest country in the world. Joe Biden, may not get that, but here in Alabama, we always will",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_IVEY_WORLD_GONE_CRAZY,Sometimes it's like the world's gone crazy. Thank God we're still in Alabama There's no physical race Theory and I'll schools ice and the strongest never be stolen and may God protect life and honor freedom. And is your Governor we always will,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_JAMES_BEN_FRANKLIN,"Ben Franklin said, only two things certain in life death in taxes and I think there's a third death taxes and Kay Ivey's gas tax increase that goes off automatically forever, Governor Ivey. In the political crowd, found a way to raise taxes forever without having to vote on them. I'm Tim James and of Governor repeal, the never-ending gas tax increase called. It's time to fight back.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_JAMES_BREAK_THE_POLITICAL_RULES,"James. I'm going to break the political rules and tell ukip is a nice lady. And she has fun ads. But this election is not about me or her, it's about Alabama, standing up for what's right? And turning a country around gas prices, open-borders crime everywhere, Children taught to hate America. Focus on skin color and their 50 genders. This is a battle for the soul of our nation. Join me in this fight.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_JAMES_CAUGHT,Propaganda from our schools for a hi-stepper rainbow flag. Flag American flag. Every child is created in the image of God. Every child has value and worth I'll protect them all.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_JAMES_COMMON_SENSE_AND_CRAZY,"There's a war going on between common sense and crazy. A supreme court nominee, who can't even tell you what a woman is the best woman. Swimmer is actually a man. And recently, the first transgender Public School in the south in Alabama with millions of your tax dollars where features put on a drag show. For the children. What are we doing to our kids? Who let this happen? It's time to fight back.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_JAMES_DEFINITION,"Definition for the word woman. I can't, you can't choice for the Supreme Court. Alabama, millions of the plane for the first Public School in the South enough of this foolishness. I'm Tim James male and female he created them. It's time to fight.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_JAMES_HARD_TO_BELIEVE,"It's hard to believe the first transgender Public School in the entire South was fun. If you're in Alabama with a rainbow flag flies, right next to the American flag. Who let this happen. Governor Kay Ivey. She gave this transgender school $2000000, I'm Tim James F government. I'll stop this world. And every child is created in the image of God has value and worth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_JAMES_TIME_TO_WAKE_UP,"It's time to wake up the second row left to destroy our country. They want to take it down, they'll think America's evil, they think America is racist. They think our founding fathers were wrong. Say thank their 50 genders, and they want to teach this crap to our children. And if you disagree with these left-wing biggest there cancel, you know, get you fired from your job p.m. James. It is time to fight back. Tim James governor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_JAMES_TURN_ON_YOUR_TV,"I'm p.m. James when you turn on your TV at night. Do you even recognize the country? You see, a latest tell us that our country is racist to the court that looting and burning down cities is normal, and there's 50 genders and that's what they're teaching to our kids and he can stand up to him to get you fired from your job. The hours late, this may be our last chance to get it right. It starts here in Alabama. Tim James governor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_JAMES_WAR_GOING_ON,"There's a war going on between us and crazy. Transgender men using girls bathroom women's sports Define for woman. The first transgender School in the South, using me your tax dollars. The Faculty for the children is exportation Scouts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_JAMES_WHAT_HAVE_WE_DONE,"What are we doing for a little ones, shutdowns, and masking to cause, Untold damage to our children, they'd fallen behind. We're starting to see mental health issues. Parents you been right? The whole time. Governor Ivey could have stopped it by executive order. She refused. Masskara, Parent's Choice. It's your decision. I'm Tim James of Governor. I'll stop for smacking.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_YOUNG_TEN_COMMANDMENTS,"I'm being young and I wrote the Ten Commandments amendment, 3 years ago, nearly 72% of alabamians voted to display the Ten Commandments and other historical documents in our schools to get your vote in, 2019 Governor, Ivey promise to display them and she lied to us about posting the Ten Commandments. This Saturday. I'm asking the Republican party to condemn kab4 information. See Dean young.com, Dean young.com.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AR_JONES_JERRILYN,"I've been married to Chris Jones for almost 20 years. I think I understand why I'm going to school for physics and Engineering. He also became an ordained minister man. The more than that, he's a compassionate man, I watch him with our girls. I also see him help people chase their own dreams gain skills and start their own businesses. And that's what Arkansas needs to grow. Great minds and big hearts.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AR_JONES_NEIGHBORHOOD,"I'm a seventh generation are cancer and a second-generation minister in the politics. My family raised me to care about people and neighbors. My neighbors parents, my neighbor's kids there, health risks, the safety and that's what a good Governor does. You check in on folks, where they live, you listen and you help where you need it. I'm Chris Jones and my neighborhood is Arkansas. Every last Street.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AR_RUTLEDGE_GOD'S_COUNTRY,"Arkansas State, we call it God's country, and that's why I kept making Arkansas, demos for live safe. And I will use my experience to protect all that God has given us.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AR_SANDERS_ARKANSAS_IS_HOME_60,"Arkansas is home. I grew up in Pine Bluff and Texarkana. I'm a proud graduate of Little Rock Central High in Ouachita Baptist University, husband. Brian right here in this is where we chose to raise our family. Arkansas is the land of opportunity for Sam Walton's, real. Little five-and-dime store into the most successful business on the face of the Earth. Daisy, Bates and the Little Rock Nine struck a blow Against Racism and you haven't lived until you float. The clear free flowing Waters of the Buffalo River for the Ozark Mountains. For watch the sunrise on a duck hunt in flooded green Timber. I love my state care about our people.As Governor, I will defend our freedom and Champion. Good Schools. Higher-paying jobs in a better life for all.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AR_SANDERS_CREATOR,"As White House, Press Secretary, I never had to worry about the far left or the New York Times because I have a Creator who's already done that? I'm a, a wife imov. My opponents will do everything in their power to destroy me, but I will not apologize for who I am or who I'm fighting for.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AR_SANDERS_INTIMIDATED,"I love my space and care about our people as your Governor. I will not be intimidated by the serious challenges we face. I will graciously please I will stay and keep our community safe and cut off funding for cities that deliberately violate immigration laws, a safer stronger Arkansas, Sarah, Huckabee Sanders for governor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
